group_type,group,customers,observed_default_rate,predicted_positive_rate,recall,false_positive_rate
성별,남성(코드 1),2372,0.2411467116357504,0.6239460370994941,0.8688811188811189,0.5461111111111111
성별,여성(코드 2),3628,0.20810363836824697,0.5653252480705623,0.83841059602649,0.4935607379046293
연령대,18~29세,1926,0.2185877466251298,0.6251298026998962,0.8646080760095012,0.5581395348837209
연령대,30~39세,2206,0.19900271985494106,0.5267452402538532,0.8291571753986332,0.45161290322580644
연령대,40~49세,1296,0.24537037037037038,0.6141975308641975,0.8647798742138365,0.532719836400818
연령대,50~59세,490,0.2612244897959184,0.6510204081632653,0.8671875,0.574585635359116
연령대,60세 이상,82,0.25609756097560976,0.6097560975609756,0.7619047619047619,0.5573770491803278
