model,validation_pr_auc,validation_recall,validation_precision
random_forest,0.5298506709381636,0.5689525244913338,0.49638395792241946
baseline,0.4783704112164088,0.22607385079125847,0.6607929515418502
smote,0.4780857351918328,0.6149208741522231,0.36347438752783967
balanced,0.4758498188093645,0.6066314996232103,0.3732035234121465
