model,mae,rmse,r2,mape_pct
Random Forest,31462.30626485612,48787.464871569355,0.8183607737647044,17.622001802813728
Gradient Boosting,38278.1481738384,55903.124190637085,0.7615126768690929,21.50206639372608
Linear Regression,50670.48923565362,70059.19333925014,0.6254382675296266,29.19194627216551
Dummy mean,90606.8549000715,114485.63543099792,-0.00021908714592466794,62.886149632599405
