model,validation_pr_auc,validation_recall,validation_precision
smote,0.6857104964579204,0.8775510204081632,0.06218365871294288
balanced,0.6857033653175553,0.8775510204081632,0.06500377928949358
baseline,0.6705051289055776,0.6326530612244898,0.8157894736842105
